id,x_topo,y_topo
W2058462165,3.2521725,4.633528
W1989917544,-4.0714073,-2.803052
W2053776717,3.286957,9.45597
W2097674218,-4.089409,-2.8239143
W2140415400,2.1911738,0.60151505
W2130576503,1.7194684,1.4065417
W3149441033,10.395486,-0.68064106
W1987278426,2.062564,2.5503721
W2320150582,-4.0945134,-2.8275094
W1612551514,4.409525,9.353071
W4232108933,2.7052572,18.969713
W2003938193,0.20003785,3.5254807
W1972885239,-4.5965214,7.3756423
W232222475,-4.592906,7.373287
W4255904985,4.1880717,4.725161
W1991777702,0.57492775,6.867149
W2074954154,0.2555387,3.773875
W2036955723,-0.8680688,7.4180555
W2085536058,3.0868983,0.39102548
W4239180967,13.9776125,4.6882315
W1979460674,-5.849881,7.097949
W2092276439,-9.904907,7.080258
W4252821326,-1.2765899,14.87764
W2165558283,1.0603669,2.416765
W3006053767,4.811541,-4.9520106
W1496173373,-1.3444622,14.8965435
W1509004151,-1.4146999,14.95755
W2155399968,2.7924507,-0.027797312
W2514361080,3.197156,0.1928185
W2104227581,3.201294,0.18554424
W2007447136,3.075359,0.2801255
W2031706128,3.2069435,0.19995043
W1540009888,3.2024946,0.19058307
W2099638983,3.1999638,0.18969259
W2023237845,3.179056,0.2365682
W2154841872,3.2204273,0.23601803
W2125105970,2.9203482,-0.023465559
W2056654827,3.0667872,0.11145568
W4249437572,1.5681432,5.980026
W131350157,-7.8430796,13.835813
W2009643439,-7.8254547,13.81188
W2105662142,-7.823325,13.810155
W2085597615,-7.833708,13.8202095
W2018663527,-7.8321996,13.818235
W2142111080,5.255083,4.384398
W2072921694,5.8907876,-6.817339
W1972170794,0.9482684,3.0937953
W2040641857,0.8473212,3.1578002
W1880378015,5.923909,-6.7730055
W1998871699,0.6398548,5.7742686
W2025320861,2.0636852,2.4578612
W2275773297,5.78467,-6.8806305
W2008416172,5.8984404,-6.807441
W2169371330,2.929936,3.095463
W1971784203,0.5504174,4.28884
W1565347903,-5.783071,7.00592
W77612647,0.9843365,3.7620728
W1996136679,2.0852168,0.7935537
W2152825437,1.6461315,2.1854193
W3035258717,5.850358,-6.841297
W2155843307,2.1823633,0.6108351
W1606698682,5.846149,-6.8682914
W2264140324,1.6042308,1.7241937
W2801830100,1.3646193,1.9904293
W2163035873,3.7483943,3.8795273
W2021497034,7.0068054,-12.132039
W1970222481,6.9983654,-12.127732
W2095210619,7.005408,-12.129923
W1979983982,-5.4969397,16.148344
W2063271381,8.268841,15.162205
W2075507349,8.431886,15.180476
W2060258034,13.321933,5.2546763
W2083632529,1.9356414,2.62181
W1985712644,8.34021,14.970916
W2075301287,9.618969,5.7276106
W2087240479,8.472873,15.102822
W2074429597,0.5392315,2.9595249
W2054561071,2.465997,2.4339547
W2104445502,8.197798,15.190129
W2018572450,8.218307,15.098579
W2073447155,8.48673,15.105822
W2060856474,12.275654,3.8700402
W2114575329,8.504974,14.977043
W2003714419,8.537669,15.184438
W2172135854,8.240386,15.247462
W2002945353,2.0034187,2.581037
W2078233697,8.25423,15.220935
W2169283568,8.096436,15.039317
W2073220759,1.2038835,4.2738457
W2144243998,8.488165,14.944471
W2121399145,21.277748,1.4102414
W2024103887,5.8586097,-0.56191677
W1980589726,5.522962,9.210544
W1779898155,-9.786074,7.2592125
W2005260525,9.388841,5.6611605
W2037071852,8.203025,15.244091
W2077480559,13.882051,1.0809221
W2044172534,2.7540383,2.8166354
W2142921575,8.505434,15.066293
W4230981185,2.7054532,18.971054
W2055635454,1.6770442,1.4625857
W2029422417,1.270819,1.9407003
W4242628327,2.1092489,0.7378947
W4250305371,1.9111738,2.9603162
W1977554562,0.705667,2.6092305
W2007457167,3.335322,-3.866068
W2125078521,3.3269238,-3.856466
W4231311245,1.7675004,1.7241211
W2984140258,3.4017565,2.5059428
W2080262992,3.348331,-3.881138
W2057910062,-0.12055684,5.7378607
W4234666511,10.243749,-0.49005508
W1965062873,3.3346102,-3.856291
W6888465210,-0.028140606,5.3291893
W3016054986,0.7721777,4.7984905
W2056549332,3.1233523,3.1610663
W2618814260,2.2361188,0.75796974
W4239445310,-9.500265,12.458863
W3005779075,3.3629966,-3.8716412
W158392163,3.3489256,-3.8698208
W2069754093,3.3501332,-3.8797498
W2024060531,1.1396779,2.2096655
W2104095591,0.98546463,2.413716
W2229412420,2.397529,0.34311268
W2007153649,3.378326,-3.8588653
W2107198582,3.369546,-3.8689747
W2913706141,12.014945,3.7153697
W2563693766,3.335297,-3.86631
W2040351352,3.3522663,-3.8692274
W1756736144,4.388376,-5.1819663
W4237942293,3.339499,-3.892122
W3041520455,2.9330318,1.1394895
W2166224910,3.4303682,3.0473201
W4246537837,2.7320943,2.8217454
W1993399828,2.6611402,2.770875
W1999616998,2.5879962,0.103617586
W2023376119,3.6754887,17.564001
W175841312,3.4556565,3.0683038
W4237371142,3.4545822,3.068833
W2004152688,3.457013,3.066577
W4251595020,4.389776,4.457539
W2042525143,11.8219795,15.708702
W1964316024,2.6711216,17.777306
W2144909841,2.5398846,2.1993325
W2136109766,1.1849806,5.367844
W4244190273,3.6730514,2.2393572
W2019055789,4.3781114,9.314021
W2073058919,2.5940602,17.851986
W2128672663,-0.9174181,7.5489197
W2077883680,2.6965897,17.752476
W2911302472,0.7043672,2.410659
W1991064236,2.7366397,17.7123
W1983487792,2.7142458,17.739372
W4229723348,2.5800953,17.86648
W2097721983,0.62121814,2.729149
W1655990431,-0.2700691,5.3612123
W1978819622,9.857305,13.726766
W2163626955,19.910742,-3.815265
W1990868920,-4.5936813,7.3780084
W2319864546,-4.5792317,7.365596
W4248207135,19.22072,14.186728
W4236167420,7.0066814,-12.134222
W2082013839,4.200219,-1.8091264
W1990241457,7.0081296,-12.133031
W2042503542,-10.627853,10.273545
W2053039612,-6.7321224,-0.7570918
W2115037018,-6.7412252,-0.74863344
W2053251403,-6.7512183,-0.74536127
W2169305037,-6.7669883,-0.72645384
W2154661161,-6.759985,-0.74812895
