degree,eigenvector,betweenness,clustering,pagerank,x_proj,y_proj,node_id
1,9.724355801072647e-20,0.0,0.0,1.424420237233715e-05,-3.8250422,-1.6168398,W1972885239
1,-8.118270261910269e-22,0.0,0.0,1.424420237233715e-05,-0.61541444,18.701612,W232222475
22,-1.683714051649485e-15,3.130303069365762e-06,0.012987012987012988,1.24566787010595e-05,4.2520347,6.5688915,W4255904985
4,-7.555318167170995e-16,0.0,0.0,1.287298557245316e-05,1.2882496,5.056938,W1991777702
7,6.969558636212445e-05,0.0,0.0,1.486493659967406e-05,6.0838275,4.8791313,W2074954154
2,-7.563977240731393e-16,0.0,0.0,1.1893192208465814e-05,2.3795815,0.5893603,W2036955723
10,0.03228368964638412,0.0,0.0,1.6085089482805157e-05,8.745345,5.752993,W2085536058
2,-7.552699887962464e-16,0.0,0.0,1.1832250124724909e-05,1.7575679,9.461547,W4239180967
3,-1.4531212308988528e-15,0.0,0.0,1.2175779114417336e-05,-0.7473048,2.0481985,W1979460674
3,-7.561804814808706e-16,0.0,0.3333333333333333,1.1823550941006599e-05,7.9842587,2.5422013,W2092276439
1,-7.55780179164786e-16,0.0,0.0,1.1515351289272206e-05,-13.643892,-1.9365469,W4252821326
24,2.8467492867982955e-05,0.0,0.018115942028985508,1.729998112002281e-05,7.0636387,6.2972746,W2165558283
2,-7.562083908507258e-16,0.0,0.0,1.2271033127659422e-05,-1.2579839,7.2350616,W3006053767
1,-7.554303469713697e-16,0.0,0.0,1.1515351289272206e-05,-13.643638,-1.9367379,W1496173373
1,-7.56812604405144e-16,0.0,0.0,1.1515351289272206e-05,-13.643679,-1.936766,W1509004151
17,0.07170528133938518,2.8843719003718072e-06,0.058823529411764705,1.2760786441001414e-05,9.012254,6.4410486,W2155399968
2,0.03214201066459485,0.0,0.0,1.1997254778409206e-05,8.976759,5.804055,W2514361080
1,0.0321420106645949,0.0,0.0,1.17882363975787e-05,8.955478,5.823867,W2104227581
7,0.03634678430520732,0.0,0.047619047619047616,1.5931473805575022e-05,8.844395,5.8592305,W2007447136
1,0.03214201066459489,0.0,0.0,1.17882363975787e-05,8.956387,5.823737,W2031706128
1,0.032142010664594885,0.0,0.0,1.17882363975787e-05,8.958265,5.8234634,W1540009888
1,0.0321420106645949,0.0,0.0,1.17882363975787e-05,8.967037,5.822084,W2099638983
4,0.03214201066459486,0.0,0.0,1.323005338534678e-05,8.87477,5.765409,W2023237845
4,0.03214201066459392,0.0,0.0,1.2351993003720318e-05,8.94808,5.7898226,W2154841872
5,0.05345069776178864,0.0,0.1,1.2854806395728278e-05,9.040072,6.2577534,W2125105970
9,0.04073453036901798,0.0,0.1388888888888889,1.3683421638000485e-05,8.971131,5.961878,W2056654827
8,-8.381377402500274e-21,0.0,0.0,1.2372990201092617e-05,2.077859,5.955228,W4249437572
1,1.404684440729331e-19,0.0,0.0,1.2372990201092617e-05,9.628897,-9.415604,W131350157
1,-1.8042558850483225e-19,0.0,0.0,1.2372990201092617e-05,19.62947,2.553439,W2009643439
1,1.3871512557246682e-19,0.0,0.0,1.2372990201092617e-05,19.629667,2.5533094,W2105662142
1,-1.1863081709517127e-20,0.0,0.0,1.2372990201092617e-05,20.348854,13.8423195,W2085597615
1,9.242374575057223e-20,0.0,0.0,1.2372990201092617e-05,9.628862,-9.415624,W2018663527
22,1.1240088860134376e-20,0.0,0.008658008658008658,1.1187889159304414e-05,2.9340172,6.8417068,W2142111080
